CHILD,SEX,DOB,ETHNIC,UPN,MOTHER,MC_DOB
P3148859,1,30/06/2000,WBRI,R845214204013,,
P4001967,2,06/08/2001,WBRI,T845209905002,,
P4007916,1,21/01/2002,WBRI,L845209008061,,
P4032115,1,28/07/2003,WBRI,M845300307041,,
P0635990,1,13/12/2000,WBRI,Q845300605021,,
P4009665,1,08/04/2000,MWBA,K845205304028,,
P4031682,2,03/09/2001,WBRI,P845336206016,,
P4016203,2,27/08/2000,WBRI,A845215403027,,
P4035413,2,03/08/2003,WROM,X845307207004,0,
P3154803,1,08/05/2001,WBRI,J845216805043,,
P4029274,1,15/04/2000,WBRI,W845215204038,,
P4047769,1,28/12/2004,WBRI,J845309309045,,
P4016149,1,12/04/2000,WBRI,T845208704028,,
P4003584,1,24/09/2001,WBRI,W845334006017,,
P4003583,1,01/11/2000,WBRI,H845702105001,,
P3150664,1,28/07/2000,WBRI,J845207703065,,
P3155225,2,08/10/2000,WBRI,N845309205051,,
P4044937,1,11/11/2002,WBRI,Z886320007007,,
P4058378,1,03/12/2005,WBRI,B845213009055,,
P4050014,1,31/01/2001,WBRI,U845214804013,,
P4041237,2,23/09/2000,WBRI,Q845213005023,,
P3149359,1,27/07/2000,WBRI,W845217003019,,
P4014020,2,15/02/2001,WBRI,F845207704035,,
P4020362,2,22/03/2003,WBRI,M845214107040,,
P4024992,1,28/02/2003,WBRI,V845212707016,,
P4079993,2,07/03/2006,WBRI,M845211110012,0,
P4027544,1,28/06/2002,WBRI,R845210406025,,
P4048000,2,20/03/2005,WBRI,Z845210509037,0,
P4035894,1,23/02/2004,WBRI,F845305808032,,
P4058262,2,14/01/2003,WBRI,W845333807028,,
P4046447,1,19/08/2004,WBRI,M845212708049,,
P4007559,2,30/11/2001,WBRI,R845703006008,,
P3152775,1,06/11/2000,WBRI,X845333505010,,
P4059480,1,06/06/2001,WBRI,X845212705083,,
P4088558,2,20/01/2007,WBRI,P845210511042,0,
P4027858,2,13/05/2003,WBRI,N886315907002,0,
P3150029,1,07/08/2000,WBRI,H845304304001,,
P4028326,2,21/03/2002,WIRI,K845703006004,,
P4042230,2,06/01/2003,WBRI,T845210407046,,
P3154626,1,05/05/2001,WBRI,M845216705004,,
P3146397,1,09/04/2000,WBRI,F845210405054,,
P4032470,1,26/04/2000,WBRI,Y845701703004,,
P4050990,2,04/09/2002,WBRI,W845213707012,,
P4095188,2,04/09/2001,WBRI,K845309206019,,
P4098970,1,14/06/2001,MWBA,U305208005030,,
P4086844,2,07/08/2006,MWBC,K845215910001,0,
P4056573,2,31/12/2004,WBRI,K845212009040,0,
P4071364,1,21/08/2005,WBRI,H845702409014,,
P4050987,1,15/01/2001,WBRI,U845213705084,,
P3153556,1,29/11/2000,MOTH,W845215103054,,
P3151790,1,02/09/2000,WBRI,X845335004040,,
P4045533,1,06/05/2002,WBRI,M845215205053,,
P4099551,2,18/12/2002,MWBA,Y845214207049,,
P4056571,1,06/09/2003,WBRI,M845212008050,,
P3152526,2,10/01/2001,WBRI,R845207704034,,
P4012580,2,19/04/2001,WBRI,B845701703006,,
P4020240,2,16/09/2001,WBRI,J845335005031,,
P4021107,2,09/07/2001,WBRI,F845212005041,,
P4027393,1,21/07/2001,OOTH,C845211205031,,
P4027394,1,12/02/2003,MOTH,U845211206044,,
P4032997,1,11/09/2003,WBRI,P845335007046,,
P4075139,2,22/02/2004,WBRI,B845334208002,0,
P4096636,1,22/05/2006,WBRI,J845216709035,,
P4114839,2,22/04/2007,WBRI,V845211511002,0,
P4120848,1,18/02/2009,WBRI,X845309013061,,
P4134402,1,25/10/2000,WBRI,K318100103052,,
P4024768,2,15/04/2001,WBRI,U845701703009,,
P4100521,1,23/03/2001,MWBA,Y845703006014,,
P4158008,2,21/10/2003,BAFR,F845215208052,0,
P4105055,2,05/07/2005,WBRI,N845213709075,0,
P4026611,2,25/08/2003,WBRI,P845211507003,1,24/04/2021
P4028464,1,13/02/2002,WBRI,K845215205042,,
P3147703,1,17/12/2000,WBRI,H845211105003,,
P4103957,1,14/12/2007,WBRI,E845301112008,,
P4158007,2,28/11/2000,BAFR,Q845215208058,,
P3148205,1,04/10/2000,WROM,Q845335004005,,
P3154713,1,26/05/2000,WBRI,Z845213604055,,
P4018011,2,23/08/2001,WBRI,T845209505008,,
P4019819,2,14/07/2002,WBRI,L845211106006,,
P4148809,1,04/03/2008,BAFR,D845211712015,,
P4020226,1,25/01/2002,WROM,F845333806006,,
P4032098,2,16/08/2003,WBRI,X845211107006,0,
P4133668,1,28/08/2006,WBRI,T845208710045,,
P4016805,2,15/10/2002,WBRI,B845214407019,,
P4096524,2,12/02/2001,WOTH,W845207706058,,
P4146260,2,29/08/2002,WOTH,Z84530930901A,,
P4079878,1,01/09/2005,WBRI,E845215110058,,
P4011885,2,15/03/2002,WBRI,G845212406025,,
P4133670,1,03/12/2004,WBRI,D845208708091,,
P4141720,2,01/01/2010,WBRI,Q845703014007,0,
P4024499,1,25/02/2001,WBRI,J845305805002,,
P4096978,1,15/08/2007,WBRI,P845309311013,,
P4040987,2,04/11/2004,WBRI,P845215208011,0,
P4115268,2,18/09/2008,WBRI,P845305813005,0,
P3150822,2,09/10/2000,WBRI,H845212405015,,
P4079877,2,17/10/2004,WBRI,L845214409002,0,
P3153672,1,24/12/2000,WBRI,M845216104014,,
P4001162,2,19/12/2000,WBRI,P845215305018,,
P4010000,1,09/06/2002,WBRI,X845214206028,,
P4010004,1,09/07/2000,WBRI,Z845214204010,,
P4011581,1,01/12/2001,WBRI,Z845703006005,,
P4020227,2,09/06/2002,WROM,D845211306006,,
P4022918,1,26/03/2003,WBRI,K845703007005,,
P4023935,2,11/05/2003,WROM,R845335307010,0,
P4032901,2,02/07/2003,WBRI,Z845212007010,0,
P4040119,2,06/06/2003,WBRI,D845301507024,0,
